address,bathroom,bedroom,code,date,description,direct,floor,ground_area,juridical,kitchen,length,link_image,livingroom,name_project,parking,price,road_width,specific_address,terrace,title,type,url_page,usable_area,width
" 
                                                 Phố Ngũ Xã ,                                                  Phường Trúc Bạch ,                                                  Quận Ba Đình ,                                                   Thành phố Hà Nội                                              ", Không, 2, MS295273, 85 m,Best Trader: O9 Z6Z8 5559," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 85 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16498/56389-5.jpg, Có," NÓNG MỚI 09 2628 5559 Bán nhà mặt phố Ngũ Xã 85m², 2 tầng, MT 5.1m, giá 37 tỷ Ba Đình", Không," 

                                                                                                37
                                                                                                Tỷ                                            ", 29 m," 
                                                Đường Ngũ Xã, Trúc Bạch
                                            ", Không,"NÓNG MỚI 09 2628 5559 Bán nhà mặt phố Ngũ Xã 85m², 2 tầng, MT 5.1m, giá 37 tỷ Ba Đình",0,https://nhadat24h.net.vn/du-an/nong-moi-09-2628-5559-ban-nha-mat-pho-ngu-xa-85m2-2-tang-mt-51m-gia-37-ty-ba-dinh/295273, 85 m, 5.1 m
" 
                                                 Đường Phan Ngữ ,                                                  Phường Đa Kao ,                                                  Quận 1 ,                                                   Thành phố Hồ Chí Minh                                              ", Có, 1, MS295272, 400 m, ," 
                                                                                                            Không xác định
                                                    
                                                ", 1, 400 m, Sổ Hồng, Có, 19 m,https://nhadat24h.net.vn/storage/product/9606/78696544.jpg, Có," Khách cần khuôn đất xây Biệt thự, VP, CHDV. Mặt tiền, P Đakao, Quận 1. DT: 21mx20m, CN: 400m2. Giá: 86 tỷ TL", Không," 

                                                                                                86
                                                                                                Tỷ                                            ", 20 m," 
                                                Đường Phan Ngữ, Đa Kao
                                            ", Không,"Khách cần khuôn đất xây Biệt thự, VP, CHDV. Mặt tiền, P Đakao, Quận 1. DT: 21mx20m, CN: 400m2. Giá: 86 tỷ TL",0,https://nhadat24h.net.vn/du-an/khach-can-khuon-dat-xay-biet-thu-vp-chdv-mat-tien-p-dakao-quan-1-dt-21mx20m-cn-400m2-gia-86-ty-tl/295272, 400 m, 21 m
" 
                                                 Phố Triệu Việt Vương ,                                                  Phường Bùi Thị Xuân ,                                                  Quận Hai Bà Trưng ,                                                   Thành phố Hà Nội                                              ", Không, 4, MS295274, 235 m,Best Trader: O9 Z6Z8 5559," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 235 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16491/56389-5.jpg, Có," NÓNG MỚI 09 2628 5559 Bán nhà mặt phố Triệu Việt Vương 235.3m², 4 tầng, MT 10.3m, giá 245 tỷ Hai Bà Trưng", Không," 

                                                                                                245
                                                                                                Tỷ                                            ", 29 m," 
                                                Đường Triệu Việt Vương, Bùi Thị Xuân
                                            ", Không,"NÓNG MỚI 09 2628 5559 Bán nhà mặt phố Triệu Việt Vương 235.3m², 4 tầng, MT 10.3m, giá 245 tỷ Hai Bà Trưng",0,https://nhadat24h.net.vn/du-an/nong-moi-09-2628-5559-ban-nha-mat-pho-trieu-viet-vuong-2353m2-4-tang-mt-103m-gia-245-ty-hai-ba-trung/295274, 235 m, 10.3 m
" 
                                                 Đường Xuân Diệu ,                                                  Phường Quảng An ,                                                  Quận Tây Hồ ,                                                   Thành phố Hà Nội                                              ", Không, 4, MS295275, 159 m,Best Trader: O9 Z6Z8 5559," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 159 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16499/56389-6.jpg, Có," MỚI O9 2628 5559 bán Nhà mặt phố Xuân Diệu 94/159m², 4 tầng, MT 7.6m, giá 59 tỷ Tây Hồ", Không," 

                                                                                                39
                                                                                                Tỷ                                            ", 29 m," 
                                                Đường Xuân Diệu, Quảng An
                                            ", Không,"MỚI O9 2628 5559 bán Nhà mặt phố Xuân Diệu 94/159m², 4 tầng, MT 7.6m, giá 59 tỷ Tây Hồ",0,https://nhadat24h.net.vn/du-an/moi-o9-2628-5559-ban-nha-mat-pho-xuan-dieu-94159m2-4-tang-mt-76m-gia-59-ty-tay-ho/295275, 159 m, 7.6 m
" 
                                                 Phố Châu Long ,                                                  Phường Quán Thánh ,                                                  Quận Ba Đình ,                                                   Thành phố Hà Nội                                              ", Không, 2, MS295278, 102 m,Best Trader: O9 Z6Z8 5559," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 102 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16503/56389-6.jpg, Có," MỚI O9 2628 5559 bán Nhà mặt phố Châu Long 102m², 2 tầng, MT 5.5m, giá 43 tỷ Ba Đình", Không," 

                                                                                                43
                                                                                                Tỷ                                            ", 29 m," 
                                                Đường Châu Long, Quán Thánh
                                            ", Không,"MỚI O9 2628 5559 bán Nhà mặt phố Châu Long 102m², 2 tầng, MT 5.5m, giá 43 tỷ Ba Đình",0,https://nhadat24h.net.vn/du-an/moi-o9-2628-5559-ban-nha-mat-pho-chau-long-102m2-2-tang-mt-55m-gia-43-ty-ba-dinh/295278, 102 m, 5.5 m
" 
                                                 Phố Đặng Tiến Đông ,                                                  Phường Trung Liệt ,                                                  Quận Đống Đa ,                                                   Thành phố Hà Nội                                              ", Không, 9, MS295244, 218 m,Best Trader: O9 Z6Z8 5559," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 218 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16575/56389-4.jpg, Có," NÓNG MỚI 09 2628 5559 Bán nhà mặt phố Đặng Tiến Đông 218m², 9 tầng, MT 8.5m, giá 96 tỷ Đống Đa", Không," 

                                                                                                96
                                                                                                Tỷ                                            ", 29 m," 
                                                Đường Đặng Tiến Đông, Trung Liệt
                                            ", Không,"NÓNG MỚI 09 2628 5559 Bán nhà mặt phố Đặng Tiến Đông 218m², 9 tầng, MT 8.5m, giá 96 tỷ Đống Đa",0,https://nhadat24h.net.vn/du-an/nong-moi-09-2628-5559-ban-nha-mat-pho-dang-tien-dong-218m2-9-tang-mt-85m-gia-96-ty-dong-da/295244, 218 m, 8.5 m
" 
                                                 Phố Kim Mã Thượng ,                                                  Phường Kim Mã ,                                                  Quận Ba Đình ,                                                   Thành phố Hà Nội                                              ", Có, 5, MS295243, 52 m, ," 
                                                                                                            Không xác định
                                                    
                                                ", 9, 52 m, Sổ Đỏ, Có, 12.4 m,https://nhadat24h.net.vn/storage/product/6883/z4972297493755-ee1e9d10a2622391cfa96332b60c0a99.jpg, Có," Bán nhà Kim Mã, Ba Đình. Diện tích 52m, 5 tầng, mặt tiền 4,2m, giá 7,1 tỷ.", Không," 

                                                                                                7.1
                                                                                                Tỷ                                            ", 1 m," 
                                                Đường Kim Mã, Kim Mã
                                            ", Không,"Bán nhà Kim Mã, Ba Đình. Diện tích 52m, 5 tầng, mặt tiền 4,2m, giá 7,1 tỷ.",0,https://nhadat24h.net.vn/du-an/ban-nha-kim-ma-ba-dinh-dien-tich-52m-5-tang-mat-tien-42m-gia-71-ty/295243, 52 m, 4.2 m
" 
                                                 Phố Trần Quốc Hoàn ,                                                  Phường Dịch Vọng Hậu ,                                                  Quận Cầu Giấy ,                                                   Thành phố Hà Nội                                              ", Không, 4, MS295248, 80 m,Best Trader: O9 Z6Z8 5559," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 80 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16576/56389-4.jpg, Có," NÓNG MỚI 09 2628 5559 Bán nhà Trần Quốc Hoàn 64/80m², 4 tầng, MT 6m, giá 17.9 tỷ Cầu Giấy", Không," 

                                                                                                17.9
                                                                                                Tỷ                                            ", 29 m," 
                                                Đường Trần Quốc Hoàn, Dịch Vọng Hậu
                                            ", Không,"NÓNG MỚI 09 2628 5559 Bán nhà Trần Quốc Hoàn 64/80m², 4 tầng, MT 6m, giá 17.9 tỷ Cầu Giấy",0,https://nhadat24h.net.vn/du-an/nong-moi-09-2628-5559-ban-nha-tran-quoc-hoan-6480m2-4-tang-mt-6m-gia-179-ty-cau-giay/295248, 80 m, 6 m
" 
                                                 Đường Cầu Giấy ,                                                  Phường Quan Hoa ,                                                  Quận Cầu Giấy ,                                                   Thành phố Hà Nội                                              ", Không, 7, MS295249, 50 m,Best Trader: O9 Z6Z8 5559," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 50 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16579/56389-5.jpg, Có," NÓNG MỚI 09 2628 5559 Bán nhà Cầu Giấy 44/50T2m², 7 tầng, MT 8.7m, giá 13.5 tỷ Cầu Giấy", Không," 

                                                                                                13.5
                                                                                                Tỷ                                            ", 29 m," 
                                                Đường Cầu Giấy, Quan Hoa
                                            ", Không,"NÓNG MỚI 09 2628 5559 Bán nhà Cầu Giấy 44/50T2m², 7 tầng, MT 8.7m, giá 13.5 tỷ Cầu Giấy",0,https://nhadat24h.net.vn/du-an/nong-moi-09-2628-5559-ban-nha-cau-giay-4450t2m2-7-tang-mt-87m-gia-135-ty-cau-giay/295249, 50 m, 8.7 m
" 
                                                 Đường Âu Cơ ,                                                  Phường 10 ,                                                  Quận Tân Bình ,                                                   Thành phố Hồ Chí Minh                                              ", Có, 5, MS295251, 50 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 5, 50 m, Sổ Hồng, Có, 13.2 m,https://nhadat24h.net.vn/storage/product/5568/409719803-3743232432575407-7141294871882659895-n.jpg, Có, NHÀ MỚI 100% - CHDV DOANH THU TỐT - ĐƯỜNG RỘNG ĐẸP - Ô TÔ TRÁNH NHAU, Không," 

                                                                                                10.8
                                                                                                Tỷ                                            ", 8 m," 
                                                Đường Âu Cơ, 10
                                            ", Không,NHÀ MỚI 100% - CHDV DOANH THU TỐT - ĐƯỜNG RỘNG ĐẸP - Ô TÔ TRÁNH NHAU,0,https://nhadat24h.net.vn/du-an/nha-moi-100-chdv-doanh-thu-tot-duong-rong-dep-o-to-tranh-nhau/295251, 50 m, 3.8 m
" 
                                                 Đường Lý Thái Tổ ,                                                  Phường 09 ,                                                  Quận 10 ,                                                   Thành phố Hồ Chí Minh                                              ", Có, 8, MS295252, 160 m, ," 
                                                                                                            Không xác định
                                                    
                                                ", 16, 160 m, Sổ Hồng, Có, 33 m,https://nhadat24h.net.vn/storage/product/9606/257877.jpg, Có," Bán tòa nhà Hầm + 8 tầng - MT Lý Thái Tổ đối diện BV Nhi Đồng. DT: 5mx33m, NH, 160m2. Giá 59 tỷ TL.", Không," 

                                                                                                59
                                                                                                Tỷ                                            ", 30 m," 
                                                Đường Lý Thái Tổ, 9
                                            ", Không,"Bán tòa nhà Hầm + 8 tầng - MT Lý Thái Tổ đối diện BV Nhi Đồng. DT: 5mx33m, NH, 160m2. Giá 59 tỷ TL.",0,https://nhadat24h.net.vn/du-an/ban-toa-nha-ham-8-tang-mt-ly-thai-to-doi-dien-bv-nhi-dong-dt-5mx33m-nh-160m2-gia-59-ty-tl/295252, 160 m, 5 m
" 
                                                                                                 Phường Bình Chiểu ,                                                  Quận Thủ Đức ,                                                   Thành phố Hồ Chí Minh                                              ", Có, 3, MS295253, 84 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 4, 84 m, Sổ Hồng, Có, 16 m,https://nhadat24h.net.vn/storage/product/16093/3d8e87137620025a6226ec09622ad005.jpg, Có," CHỦ NGỘP NH  GIÁ RẼ TỪ 6 TỶ GIẢM CÒN 3 TỶ 8, HXH ĐƯỜNG TỈNH LỘ 43 PHƯỜNG BÌNH CHIỂU TP THỦ ĐỨC.", Không," 

                                                                                                3.8
                                                                                                Tỷ                                            ", 4 m," 
                                                Đường Tỉnh lộ 43, Bình Chiểu
                                            ", Không,"CHỦ NGỘP NH  GIÁ RẼ TỪ 6 TỶ GIẢM CÒN 3 TỶ 8, HXH ĐƯỜNG TỈNH LỘ 43 PHƯỜNG BÌNH CHIỂU TP THỦ ĐỨC.",0,https://nhadat24h.net.vn/du-an/chu-ngop-nh-gia-re-tu-6-ty-giam-con-3-ty-8-hxh-duong-tinh-lo-43-phuong-binh-chieu-tp-thu-duc/295253, 84 m, 5 m
" 
                                                 Phố Phương Mai ,                                                  Phường Kim Liên ,                                                  Quận Đống Đa ,                                                   Thành phố Hà Nội                                              ", Có, 4, MS295258, 40 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 4, 40 m, Sổ Đỏ, Có, 10 m,https://nhadat24h.net.vn/storage/product/4697/1-8.jpg, Có," BÁN NHÀ PHỐ PHƯƠNG MAI, ĐỐNG ĐA: 40M2, MẶT TIỀN 4M, 4 NGỦ, NGÕ THÔNG, Ô TÔ VÀO NHÀ, 7.999 TỶ.", Không," 

                                                                                                7.999
                                                                                                Tỷ                                            ", 4 m," 
                                                Đường Phương Mai, Kim Liên
                                            ", Không,"BÁN NHÀ PHỐ PHƯƠNG MAI, ĐỐNG ĐA: 40M2, MẶT TIỀN 4M, 4 NGỦ, NGÕ THÔNG, Ô TÔ VÀO NHÀ, 7.999 TỶ.",0,https://nhadat24h.net.vn/du-an/ban-nha-pho-phuong-mai-dong-da-40m2-mat-tien-4m-4-ngu-ngo-thong-o-to-vao-nha-7999-ty/295258, 40 m, 4 m
" 
                                                 Phố Yên Hoa ,                                                  Phường Yên Phụ ,                                                  Quận Tây Hồ ,                                                   Thành phố Hà Nội                                              ", Không, 4, MS295282, 60 m,Best Trader: O9 Z6Z8 5559," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 60 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16494/56389-5.jpg, Có," NÓNG MỚI 09 2628 5559 Bán nhà mặt phố Yên Hoa 60m², 4 tầng, MT 6m, giá 15 Tỷ Tây Hồ", Không," 

                                                                                                15
                                                                                                Tỷ                                            ", 29 m," 
                                                Đường Yên Hoa, Yên Phụ
                                            ", Không,"NÓNG MỚI 09 2628 5559 Bán nhà mặt phố Yên Hoa 60m², 4 tầng, MT 6m, giá 15 Tỷ Tây Hồ",0,https://nhadat24h.net.vn/du-an/nong-moi-09-2628-5559-ban-nha-mat-pho-yen-hoa-60m2-4-tang-mt-6m-gia-15-ty-tay-ho/295282, 60 m, 6 m
" 
                                                 Đường Võ Chí Công ,                                                  Phường Nghĩa Đô ,                                                  Quận Cầu Giấy ,                                                   Thành phố Hà Nội                                              ", Không, 1, MS295281, 204 m,Best Trader: O9 Z6Z8 5559," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 204 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16492/56389-5.jpg, Có," NÓNG MỚI 09 2628 5559 Bán nhà Võ Chí Công 204m², Nhà C4, MT 13.8m, giá 29.5 tỷ Cầu Giấy", Không," 

                                                                                                29.5
                                                                                                Tỷ                                            ", 29 m," 
                                                Đường Võ Chí Công, Nghĩa Đô
                                            ", Không,"NÓNG MỚI 09 2628 5559 Bán nhà Võ Chí Công 204m², Nhà C4, MT 13.8m, giá 29.5 tỷ Cầu Giấy",0,https://nhadat24h.net.vn/du-an/nong-moi-09-2628-5559-ban-nha-vo-chi-cong-204m2-nha-c4-mt-138m-gia-295-ty-cau-giay/295281, 204 m, 13.8 m
" 
                                                                                                 Phường Yên Sở ,                                                  Quận Hoàng Mai ,                                                   Thành phố Hà Nội                                              ", Không, 0, MS295287, 112 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 112 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/2945/z4973693955041-df9f7cc692fc1d98fd15fb1399677424.jpg, Có, Mình cần bán căn chung cư hộ chị gái, Không," 

                                                                                                3.6
                                                                                                Tỷ                                            ", 1 m," 
                                                Đường 32, Yên Sở
                                            ", Không,Mình cần bán căn chung cư hộ chị gái,0,https://nhadat24h.net.vn/du-an/minh-can-ban-can-chung-cu-ho-chi-gai/295287, 112 m, 0 m
" 
                                                                                                 Phường 3 ,                                                  Thành phố Vũng Tàu ,                                                   Tỉnh Bà Rịa - Vũng Tàu                                              ", Không, 0, MS295289, 903 m,LH: 0978.998.638 ," 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Đông Nam
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
                                                ", 0, 903 m, Sổ Đỏ, Không, 20 m,https://nhadat24h.net.vn/storage/product/14332/2344-vungtau1212.jpg, Không, Bán đất mặt tiền Thống Nhất mới vị trí ngã 3 đẹp nhất Vũng Tàu, Không," 

                                                                                                90
                                                                                                Tỷ                                            ", 1 m," 
                                                Đường Thống Nhất mới, 3
                                            ", Không,Bán đất mặt tiền Thống Nhất mới vị trí ngã 3 đẹp nhất Vũng Tàu,0,https://nhadat24h.net.vn/du-an/ban-dat-mat-tien-thong-nhat-moi-vi-tri-nga-3-dep-nhat-vung-tau/295289, 903 m, 45 m
" 
                                                 Đường Thái Thị Bôi ,                                                  Phường Chính Gián ,                                                  Quận Thanh Khê ,                                                   Thành phố Đà Nẵng                                              ", Có, 2, MS295290, 50 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 2, 50 m, Sổ Đỏ, Có, 10 m,https://nhadat24h.net.vn/storage/product/11928/1-51.jpg, Có, 💥BÁN NHÀ 2 MẶT KIỆT 2 TẦNG K35 THÁI THỊ BÔI - THANH KHÊ, Không," 

                                                                                                2.15
                                                                                                Tỷ                                            ", 4 m," 
                                                Đường Thái Thị Bôi, Chính Gián
                                            ", Không,💥BÁN NHÀ 2 MẶT KIỆT 2 TẦNG K35 THÁI THỊ BÔI - THANH KHÊ,0,https://nhadat24h.net.vn/du-an/ban-nha-2-mat-kiet-2-tang-k35-thai-thi-boi-thanh-khe/295290, 50 m, 5 m
" 
                                                 Đường Bùi Viện ,                                                  Phường Cầu Ông Lãnh ,                                                  Quận 1 ,                                                   Thành phố Hồ Chí Minh                                              ", Có, 3, MS295296, 68 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 3, 68 m, Sổ Hồng, Có, 17 m,https://nhadat24h.net.vn/storage/product/14876/410320010-1513036279536219-2532391373409194188-n.jpg, Có, MẶT TIỀN PHỐ BÙI VIỆN - KINH DOANH ĐỈNH - Q1 - 29 TỶ THƯƠNG LƯỢNG NHANH., Không," 

                                                                                                29
                                                                                                Tỷ                                            ", 12 m," 
                                                Đường Bùi Viện, Cầu Ông Lãnh
                                            ", Không,MẶT TIỀN PHỐ BÙI VIỆN - KINH DOANH ĐỈNH - Q1 - 29 TỶ THƯƠNG LƯỢNG NHANH.,0,https://nhadat24h.net.vn/du-an/mat-tien-pho-bui-vien-kinh-doanh-dinh-q1-29-ty-thuong-luong-nhanh/295296, 68 m, 4.1 m
" 
                                                 Đường Bùi Viện ,                                                  Phường Cầu Ông Lãnh ,                                                  Quận 1 ,                                                   Thành phố Hồ Chí Minh                                              ", Có, 3, MS295292, 68 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 3, 68 m, Sổ Hồng, Có, 17 m,https://nhadat24h.net.vn/storage/product/15909/410320010-1513036279536219-2532391373409194188-n.jpg, Có, MẶT TIỀN PHỐ BÙI VIỆN - KINH DOANH ĐỈNH - Q1 - 29 TỶ THƯƠNG LƯỢNG NHANH., Không," 

                                                                                                29
                                                                                                Tỷ                                            ", 12 m," 
                                                Đường Bùi Viện, Cầu Ông Lãnh
                                            ", Không,MẶT TIỀN PHỐ BÙI VIỆN - KINH DOANH ĐỈNH - Q1 - 29 TỶ THƯƠNG LƯỢNG NHANH.,0,https://nhadat24h.net.vn/du-an/mat-tien-pho-bui-vien-kinh-doanh-dinh-q1-29-ty-thuong-luong-nhanh/295292, 68 m, 4.1 m
" 
                                                 Phố Nguyễn Hữu Huân ,                                                  Phường Lý Thái Tổ ,                                                  Quận Hoàn Kiếm ,                                                   Thành phố Hà Nội                                              ", Không, 3, MS295302, 92 m,Best Trader: O9 Z6Z8 5559," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 92 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16484/56389-4.jpg, Có," TIN HOT O9 2628 5559 Bán Nhà mặt phố Nguyễn Hữu Huân 92m², 3 tầng, MT 6m, 110 tỷ. Hoàn Kiếm", Không," 

                                                                                                110
                                                                                                Tỷ                                            ", 29 m," 
                                                Đường Nguyễn Hữu Huân, Lý Thái Tổ
                                            ", Không,"TIN HOT O9 2628 5559 Bán Nhà mặt phố Nguyễn Hữu Huân 92m², 3 tầng, MT 6m, 110 tỷ. Hoàn Kiếm",0,https://nhadat24h.net.vn/du-an/tin-hot-o9-2628-5559-ban-nha-mat-pho-nguyen-huu-huan-92m2-3-tang-mt-6m-110-ty-hoan-kiem/295302, 92 m, 6 m
" 
                                                 Đường Lê Đại Hành ,                                                  Phường Lê Đại Hành ,                                                  Quận Hai Bà Trưng ,                                                   Thành phố Hà Nội                                              ", Không, 8, MS295301, 120 m,Best Trader: O9 Z6Z8 5559," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 120 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16481/56389-4.jpg, Có," TIN HOT O9 2628 5559 Bán Nhà mặt phố Lê Đại Hành 97/120m², 8 tầng, MT 10m, 138 tỷ. Hai Bà Trưng", Không," 

                                                                                                138
                                                                                                Tỷ                                            ", 29 m," 
                                                Đường Lê Đại Hành, Lê Đại Hành
                                            ", Không,"TIN HOT O9 2628 5559 Bán Nhà mặt phố Lê Đại Hành 97/120m², 8 tầng, MT 10m, 138 tỷ. Hai Bà Trưng",0,https://nhadat24h.net.vn/du-an/tin-hot-o9-2628-5559-ban-nha-mat-pho-le-dai-hanh-97120m2-8-tang-mt-10m-138-ty-hai-ba-trung/295301, 120 m, 10 m
" 
                                                 Phố Nguyễn Bỉnh Khiêm ,                                                  Phường Nguyễn Du ,                                                  Quận Hai Bà Trưng ,                                                   Thành phố Hà Nội                                              ", Không, 3, MS295303, 200 m,Best Trader: O9 Z6Z8 5559," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 200 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16472/56389-6.jpg, Có," TIN HOT O9 2628 5559 Bán Nhà mặt phố Nguyễn Bỉnh Khiêm 200m², 3 tầng, MT 8m, 140 tỷ. Hai Bà Trưng", Không," 

                                                                                                140
                                                                                                Tỷ                                            ", 29 m," 
                                                Đường Nguyễn Bỉnh Khiêm, Nguyễn Du
                                            ", Không,"TIN HOT O9 2628 5559 Bán Nhà mặt phố Nguyễn Bỉnh Khiêm 200m², 3 tầng, MT 8m, 140 tỷ. Hai Bà Trưng",0,https://nhadat24h.net.vn/du-an/tin-hot-o9-2628-5559-ban-nha-mat-pho-nguyen-binh-khiem-200m2-3-tang-mt-8m-140-ty-hai-ba-trung/295303, 200 m, 8 m
" 
                                                 Phố Bà Triệu ,                                                  Phường Nguyễn Du ,                                                  Quận Hai Bà Trưng ,                                                   Thành phố Hà Nội                                              ", Không, 6, MS295306, 220 m,Best Trader: O9 Z6Z8 5559," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 220 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16473/56389-5.jpg, Có," TIN HOT O9 2628 5559 Bán Nhà mặt phố Bà Triệu 220m², 6 tầng, MT 8m, 138 tỷ. Hai Bà Trưng", Không," 

                                                                                                138
                                                                                                Tỷ                                            ", 29 m," 
                                                Đường Bà Triệu, Nguyễn Du
                                            ", Không,"TIN HOT O9 2628 5559 Bán Nhà mặt phố Bà Triệu 220m², 6 tầng, MT 8m, 138 tỷ. Hai Bà Trưng",0,https://nhadat24h.net.vn/du-an/tin-hot-o9-2628-5559-ban-nha-mat-pho-ba-trieu-220m2-6-tang-mt-8m-138-ty-hai-ba-trung/295306, 220 m, 8 m
" 
                                                 Phố Nguyễn Bỉnh Khiêm ,                                                  Phường Lê Đại Hành ,                                                  Quận Hai Bà Trưng ,                                                   Thành phố Hà Nội                                              ", Không, 8, MS295309, 259 m,Best Trader: O9 Z6Z8 5559," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 259 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16468/56389-7.jpg, Có," TIN HOT O9 2628 5559 Bán Nhà mặt phố Nguyễn Bỉnh Khiêm 259m², 8 tầng, MT 8.4m, 145 tỷ. Hai Bà Trưng", Không," 

                                                                                                145
                                                                                                Tỷ                                            ", 29 m," 
                                                Đường Nguyễn Bỉnh Khiêm, Lê Đại Hành
                                            ", Không,"TIN HOT O9 2628 5559 Bán Nhà mặt phố Nguyễn Bỉnh Khiêm 259m², 8 tầng, MT 8.4m, 145 tỷ. Hai Bà Trưng",0,https://nhadat24h.net.vn/du-an/tin-hot-o9-2628-5559-ban-nha-mat-pho-nguyen-binh-khiem-259m2-8-tang-mt-84m-145-ty-hai-ba-trung/295309, 259 m, 8.4 m
" 
                                                 Đường Linh Đàm ,                                                  Phường Hoàng Liệt ,                                                  Quận Hoàng Mai ,                                                   Thành phố Hà Nội                                              ", Không, 6, MS295333, 217 m,Best Trader: O9 Z6Z8 5559," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 217 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16453/56389-5.jpg, Có," O9 2628 5559 CẦN BÁN. Biệt thự KĐT Bắc Linh Đàm 217m², 6 tầng, MT 12m, giá 36 tỷ Hoàng Mai", Không," 

                                                                                                36
                                                                                                Tỷ                                            ", 29 m," 
                                                Đường Linh Đàm, Hoàng Liệt
                                            ", Không,"O9 2628 5559 CẦN BÁN. Biệt thự KĐT Bắc Linh Đàm 217m², 6 tầng, MT 12m, giá 36 tỷ Hoàng Mai",0,https://nhadat24h.net.vn/du-an/o9-2628-5559-can-ban-biet-thu-kdt-bac-linh-dam-217m2-6-tang-mt-12m-gia-36-ty-hoang-mai/295333, 217 m, 12 m
" 
                                                 Phố Trần Đại Nghĩa ,                                                  Phường Bách Khoa ,                                                  Quận Hai Bà Trưng ,                                                   Thành phố Hà Nội                                              ", Không, 3, MS295330, 100 m,Best Trader: O9 Z6Z8 5559," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 100 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16440/56389-4.jpg, Có," O9 2628 5559 CẦN BÁN. Mặt phố Trần Đại Nghĩa 92/100m², 3 tầng, MT 6m, giá 38.5 tỷ Hai Bà Trưng", Không," 

                                                                                                38.5
                                                                                                Tỷ                                            ", 29 m," 
                                                Đường Trần Đại Nghĩa, Bách Khoa
                                            ", Không,"O9 2628 5559 CẦN BÁN. Mặt phố Trần Đại Nghĩa 92/100m², 3 tầng, MT 6m, giá 38.5 tỷ Hai Bà Trưng",0,https://nhadat24h.net.vn/du-an/o9-2628-5559-can-ban-mat-pho-tran-dai-nghia-92100m2-3-tang-mt-6m-gia-385-ty-hai-ba-trung/295330, 100 m, 6 m
